time	ms	value
10:12:07	1516592	1156
10:12:08	1517748	1136
10:12:09	1518884	1136
10:12:11	1520020	1152
10:12:12	1521172	1104
10:12:13	1522276	1092
10:12:14	1523368	1100
10:12:15	1524468	1076
10:12:16	1525544	1060
10:12:17	1526604	1096
10:12:18	1527700	1112
10:12:19	1528812	1104
10:12:20	1529916	1020
10:12:21	1530936	1032
10:12:22	1531968	1048
10:12:24	1533016	1044
10:12:25	1534060	992
10:12:26	1535052	1016
10:12:27	1536068	1040
10:12:28	1537108	1036
10:12:29	1538144	988
10:12:30	1539132	1012
10:12:31	1540144	1000
10:12:32	1541144	980
10:12:33	1542124	984
10:12:34	1543108	960
10:12:35	1544068	976
10:12:36	1545044	956
10:12:37	1546000	1008
10:12:38	1547008	1048
10:12:39	1548056	1008
10:12:40	1549064	1052
10:12:41	1550116	1072
10:12:42	1551188	1060
10:12:43	1552248	1028
10:12:44	1553276	1052
10:12:45	1554328	1052
10:12:46	1555380	988
10:12:47	1556368	1024
10:12:48	1557392	1024
10:12:49	1558416	1012
10:12:50	1559428	980
10:12:51	1560408	980
10:12:52	1561388	1016
10:12:53	1562404	1044
10:12:54	1563448	1012
10:12:55	1564460	1068
10:12:56	1565528	1120
10:12:57	1566648	1156
10:12:58	1567804	1128
10:12:59	1568932	1156
10:13:01	1570088	1148
10:13:02	1571236	1120
10:13:03	1572356	1064
10:13:04	1573420	1084
10:13:05	1574504	1088
10:13:06	1575592	1100
10:13:07	1576692	1080
10:13:08	1577772	1072
10:13:09	1578844	1080
10:13:10	1579924	1124
10:13:12	1581048	1140
10:13:13	1582188	1112
10:13:14	1583300	1168
10:13:15	1584468	1180
10:13:16	1585648	1148
10:13:17	1586796	1192
10:13:18	1587988	1168
10:13:20	1589156	1080
10:13:21	1590236	1124
10:13:22	1591360	1132
10:13:23	1592492	1080
10:13:24	1593572	1096
10:13:25	1594668	1096
10:13:26	1595764	1048
10:13:27	1596812	1064
10:13:28	1597876	1076
10:13:29	1598952	1056
10:13:31	1600008	976
10:13:31	1600984	1032
10:13:33	1602016	1044
10:13:34	1603060	984
10:13:35	1604044	940
10:13:35	1604984	944
10:13:36	1605928	944
10:13:37	1606872	956
10:13:38	1607828	996
10:13:39	1608824	1024
10:13:40	1609848	1020
10:13:41	1610868	1016
10:13:42	1611884	984
